Titulo,Autor,Duracion
The Golden Enclaves,Naomi Novik,Length: 12 hrs
Untitled Gamache #18,Louise Penny,Length: 15 hrs
Hell Bent,Leigh Bardugo,Length: 10 hrs
The Omega Factor,Steve Berry,Length: 13 hrs and 38 mins
Gun Barons,John Bainbridge Jr.,Length: 10 hrs and 14 mins
Dead Drop,Tate James,Length: 11 hrs and 3 mins
Soul Taken,Patricia Briggs,Length: 10 hrs
You Owe You,Eric Thomas,Length: 8 hrs
I'm Glad My Mom Died,Jennette McCurdy,Length: 10 hrs
Mage of No Renown,Kel Kade,Length: 11 hrs and 37 mins
The Winners,Fredrik Backman,Length: 23 hrs and 30 mins
Kiss Hard,Nalini Singh,Length: 8 hrs and 58 mins
Saving Nine,Mike Lee,Length: 6 hrs and 45 mins
"How Are You, Really?",Jenna Kutcher,Length: 9 hrs and 15 mins
The Candid Life of Meena Dave,Namrata Patel,Length: 10 hrs and 31 mins
Cross Over,James Patterson,Length: 9 hrs
Empire,Joshua Dalzelle,Length: 9 hrs and 13 mins
Clive Cussler's Hellburner,Mike Maden,Length: 10 hrs
"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,Length: 9 hrs and 45 mins
It Starts with Us,Colleen Hoover,Length: 10 hrs
It Was All a Dream,Justin Tinsley,Length: Not Yet Known
The 6:20 Man,David Baldacci,Length: 11 hrs and 48 mins
Every Cloak Rolled in Blood,James Lee Burke,Length: 7 hrs and 17 mins
The Boardwalk Bookshop,Susan Mallery,Length: 11 hrs and 18 mins
The Jade Setter of Janloon,Fonda Lee,Length: 4 hrs and 5 mins
Rise of the Machine,Erin Mallon,Length: 2 hrs and 18 mins
Liking Myself Back,Jacey Duprie,Length: 7 hrs and 44 mins
Hell Divers IX: Radioactive,Nicholas Sansbury Smith,Length: 14 hrs
Stephen Leeds: Death & Faxes,Brandon Sanderson,Length: 4 hrs
Fossil Future,Alex Epstein,Length: 16 hrs and 15 mins
With a Mind to Kill,Anthony Horowitz,Length: 7 hrs and 25 mins
The Choice,Nora Roberts,Length: 10 hrs
Devourer,Michael Atamanov,Length: 10 hrs and 23 mins
West Side Love Story,Priscilla Oliveras,Length: 9 hrs and 51 mins
Building a Second Brain,Tiago Forte,Length: 7 hrs
Racing the Light,Robert Crais,Length: 9 hrs
Ruby Fever,Ilona Andrews,Length: 12 hrs and 30 mins
"Cold, Cold Bones",Kathy Reichs,Length: 10 hrs and 30 mins
Wayward Galaxy 4,Jason Anspach,Length: 13 hrs and 2 mins
Bloodmarked,Tracy Deonn,Length: 19 hrs
The Record Keeper,Charles Martin,Length: 12 hrs
Last Summer Boys,Bill Rivers,Length: 9 hrs and 17 mins
No Plan B,Lee Child,Length: 11 hrs
All Good People Here,Ashley Flowers,Length: 9 hrs
Legends Rise,Richard Fox,Length: 6 hrs and 43 mins
