user,text
@natiibedoya,Las organizaciones sociales en Bogotá le dicen si al presidente de la gente. #BogotáConFico @FicoGutierrez
@Enrique_GomezM,"Este hilo, basado en la investigación que hizo Mauricio Gómez revela el desastre que causó y dejó @petrogustavo tras su desastroso paso por la Alcaldía de Bogotá, en el que por supuesto favoreció a su familia y amigos, como es costumbre en los socialistas. #PetroEsCorrupción"
@ALunaSilva,"En Bogotá #Colombia, así reaccionó este conductor al ver que dos hombres en una moto le dispararon para asaltarlo. @Pueblaonline"
@DirectorPolicia,"Con @DanielPalam , @ClaudiaLopez , @Registraduria y autoridades del orden nacional participamos en el Comité de Garantías Electorales en #Bogotá. Verificamos la estrategia de seguridad en la capital, con ocasión del certamen democrático del próximo domingo. #PlanDemocracia2022"
