Titulo,Pais,Duracion,Año,Director
The Legend of Jack and Jill (2021),United States,1hora 30minutos,2021,"Fred Searle,Jack Peter Mundy,"
007: Operación trueno (1965),United Kingdom,2horas 10minutos,1965,"Gus Agosti,Joan Davis,Robert Watts,Terence Young"
Batman vs Robin (2015),United States,1hora 12minutos,2015,Jay Oliva
Chasing Amy (1997),United States,1hora 54minutos,1997,"David Klein,John M. Tyson,Kevin Smith,,Linda Krantz"
Playing Cupid (2021),"United States, Canada",1hora 23minutos,2021,"David Weaver,Mieke Verhelst,Warut Boonyaleephun"
Un millón de años a. C. (1966),United Kingdom,1hora 40minutos,1966,Don Chaffey
Batman: El Misterio de Capucha Roja (2010),United States,1hora 15minutos,2010,"Brandon Vietti,"
El Hijo de Batman (2014),United States,1hora 14minutos,2014,"Ethan Spaulding,"
Las crónicas de Narnia: la travesía del Viajero del Alba (2010),"United States, United Kingdom",1hora 53minutos,2010,
Las crónicas de Narnia: El príncipe Caspian (2008),"United States, Poland, Slovenia, Czechia, United Kingdom",2horas 24minutos,2008,
Batman: Mala Sangre (2016),United States,1hora 12minutos,2016,Jay Oliva
One Piece: Z (2012),Japan,1hora 48minutos,2012,"Tatsuya Nagamine,"
Batman: Año Uno (2011),United States,1hora 4minutos,2011,"Lauren Montgomery,,Sam Liu,"
007: Sólo se vive dos veces (1967),United Kingdom,1hora 57minutos,1967,"Lewis Gilbert,Peter R. Hunt,,William P. Cartlidge"
El origen (2010),"United States, United Kingdom",2horas 28minutos,2010,
The Batman (2022),United States,2horas 55minutos,2022,"Bradley Parker,Matt Reeves,Robert Alonzo,Toby Hefferman"
Charlie & Boots (2009),Australia,1hora 41minutos,2009,"Andrew R. Campbell,Dean Murphy,Greg Spiller,Jane Forbes,Paul Walton,Tim Smart"
"Las crónicas de Narnia: El león, la bruja y el ropero (2005)","United Kingdom, United States",2horas 23minutos,2005,
"Yo, Robot (2004)","United States, Germany",1hora 55minutos,2004,"Alex Proyas,David R. Baron,Paul Barry,Sam Harris,Scott J. Ateah,Shelley Crawford,Stephanie Kate Mitchell,Tracey Poirier"
Destinos opuestos (1991),United States,1hora 23minutos,1991,"Bryan Gordon,"
Vidas Entrelazadas (2019),United States,1hora 48minutos,2019,"James Bird,"
Superman/Batman: Apocalipsis (2010),United States,1hora 18minutos,2010,"Lauren Montgomery,"
Tom Clancy’s: Sin Remordimientos (2021),United States,1hora 49minutos,2021,"Stefano Sollima,"
The Man of God (2022),Nigeria,2horas 20minutos,2022,"Bolanle Austen-Peters,"
Kung-fusión (2004),"Hong Kong, China, United States",1hora 39minutos,2004,"Stephen Chow,"
Los diez mandamientos (1956),United States,3horas 51minutos,1956,"Arthur Rosson,Cecil B. DeMille,Daniel McCauley,Edward Salven,Fouad Aref,Francisco Day,Michael D. Moore"
Linterna Verde: Caballeros Esmeralda (2011),United States,1hora 24minutos,2011,"Christopher Berkeley,Jay Oliva,Lauren Montgomery,"
Descarrilados (2021),Spain,1hora 48minutos,2021,"Fernando García-Ruiz Rubio,"
Todos Para Uma (2021),"Italy, Austria",1hora 26minutos,2021,"Susy Laude,"
Rehen Rebelde (2021),United States,1hora 34minutos,2021,"Joe Narode,Jon Keeyes,"
Electric Jesus (2020),United States,1hora 47minutos,2020,"Chris White,"
Puños de Sangre (2020),"United Kingdom, France",1hora 45minutos,2020,"Chris Malin,James Kermack"
Choose or Die (2022),United Kingdom,1hora 24minutos,2022,"Toby Meakins,"
Liga de la Justicia: Perdición (2012),United States,1hora 17minutos,2012,"Lauren Montgomery,"
Alucinaciones del pasado (1990),United States,1hora 53minutos,1990,"Adrian Lyne,Deborah Lupard,Joseph P. Reidy,Vebe Borge"
Embrión (2020),Chile,1hora 12minutos,2020,"Barry Keating,Francisco Inostroza,Juan Pablo Arriagada,Patricio Valladares"
Space Jam: El juego del siglo (1996),United States,1hora 27minutos,1996,"Austin McCann,Elizabeth Herbert,Joe Pytka,Morgan,Pamela Cederquist"
Las niñas de cristal (2022),Spain,2horas 17minutos,2022,"Jota Linares,"
007: Al servicio secreto de Su Majestad (1969),United Kingdom,2horas 20minutos,1969,"Peter R. Hunt,"
La Cacería (2020),"United States, Japan",1hora 30minutos,2020,"Alicia Dean,Craig Zobel,David Bush,Harry Beckstead,Lars P. Winther,Steve Lonano"
Mala educación (2020),United States,1hora 48minutos,2020,"Alex Scricco,Cory Finley,John Silvestri,Narielys Márquez Carrasquillo,Peter Thorell"
Amalgama (2020),Mexico,1hora 32minutos,2020,"Carlos Cuarón,"
Poskromienie złośnicy (2022),Poland,1hora 52minutos,2022,"Anna Wieczur-Bluszcz,,Katarzyna Szyngiera"
