Titulo,Pais,Duracion,Año,Director
Harold y Kumar: Aventura nocturna (2004),"United States, Canada, Germany",1hora 28minutos,2004,"Danny Leiner,Lisa Burling"
Bajo la arena (2015),"Denmark, Germany",1hora 40minutos,2015,"Karina Kirkeby,Karina Skovgaard,Martin Zandvliet,Scott Kirby"
The Runaways (2010),United States,1hora 46minutos,2010,"Floria Sigismondi,"
El poder del perro (2021),"United Kingdom, Canada, Australia, New Zealand, United States",2horas 7minutos,2021,"Jane Campion,"
El huésped (2014),"United States, United Kingdom",1hora 39minutos,2014,"Adam Wingard,Kiran Kaur Saini"
Evitando el Amor (2013),United States,1hora 37minutos,2013,"Josh Boone,Scott Hardwick"
Atlantis: El imperio perdido (2001),United States,1hora 35minutos,2001,"Gary Trousdale,Kirk Wise,Lam Hoang"
S.O.S. Mamis: La película (2022),Chile,1hora 45minutos,2022,"Camila Collao,Chepo Sepulveda,Claudia Carvajal,Daniela Lucero,Gabriela Sobarzo,Karina Elgueda"
The Closet (2020),South Korea,1hora 37minutos,2020,"Kim Kwang-bin,"
Gates of Darkness (2019),United States,1hora 31minutos,2019,"Don E. FauntLeRoy,"
Atlantis: El Regreso de Milo (2003),United States,1hora 10minutos,2003,"Tad Stones,Toby Shelton,Victor Cook"
Muerte en el Nilo (2022),"United States, United Kingdom",2horas 7minutos,2022,"Kenneth Branagh,"
CODA: Señales Del Corazón (2021),"France, Canada, United States",1hora 52minutos,2021,"Cameron K. Morton,David Mendoza,Jillian Roache,Pete Waterman,Siân Heder"
Los infiltrados (2006),"United States, Hong Kong",2horas 31minutos,2006,"Joseph P. Reidy,Martha Pinson,Martin Scorsese"
Recuérdame (2010),United States,2horas 8minutos,2010,"Allen Coulter,"
Legiony (2019),Poland,2horas 20minutos,2019,"Dariusz Gajewski,"
Willy’s Wonderland (2021),United States,1hora 28minutos,2021,"Janine Gosselin,Kevin Lewis"
Wilkołak (2019),"Poland, Netherlands, Germany",1hora 28minutos,2019,"Adrian Panek,"
Enemigos Intimos (2018),"France, Belgium",1hora 51minutos,2018,"David Oelhoffen,"
Masacre en el bosque (2017),United States,1hora 28minutos,2017,"Luis Iga,"
Jinetes de la justicia (2020),"Denmark, Sweden, Finland",1hora 56minutos,2020,"Anders Thomas Jensen,Mikkel Andreas Smidt,Peter Bækkel"
La Historia sin Fin II (1990),Germany,1hora 29minutos,1990,"Bert Batt,Connie Collins,George T. Miller,Helmut Fodschuk,Jackie Jordan,James Marshall,Petra Lüdecke,T.W. Peacocke"
La historia sin fin (1984),"West Germany, United States",1hora 34minutos,1984,
El Rey Arturo: La leyenda de la espada (2017),"United Kingdom, United States, Australia",2horas 6minutos,2017,"Daniel Hillary,Elizabeth West,Evelien Kortum,Guy Ritchie,,Marianne Huet,Max Keene,Paul Hayes"
Piratas del Caribe: La Venganza de Salazar (2017),United States,2horas 9minutos,2017,"Carolina Häggström,Espen Sandberg,Joachim Rønning,Joecy Shepherd,Victoria Sullivan"
Hover (2018),United States,1hora 26minutos,2018,"Joe Kirkpatrick,Matt Osterman"
Piratas del Caribe: Navegando Aguas Misteriosas (2011),"United States, United Kingdom",2horas 21minutos,2011,"Kerry Lyn McKissick,Rob Marshall"
Piratas del Caribe: En el Fin del Mundo (2007),United States,2horas 48minutos,2007,"Gore Verbinski,Karen Golden,Pamela Alch,Sharron Reynolds-Enriquez"
"Pokémon, la película: Los secretos de la selva (2020)",Japan,1hora 38minutos,2020,"Jun Owada,Tetsuo Yajima"
Un Rabón Con Corazón (2022),Colombia,1hora 46minutos,2022,"Juan Carlos Vásquez,"
La Historia sin Fin III (1994),Germany,1hora 35minutos,1994,
Mallrats (1995),United States,1hora 34minutos,1995,"Kevin Smith,"
2012 (2009),United States,2horas 38minutos,2009,"Andrew M. Robinson,James Bitonti,Ken Shane,Kimi Webber,Roland Emmerich,Tommy Gormley"
Notas perfectas (2012),United States,1hora 48minutos,2012,"Jason Moore,Wilma Garscadden-Gahret"
Más Notas Perfectas (2015),United States,1hora 55minutos,2015,"Elizabeth Banks,Scott Peterson"
Notas Perfectas 3 (2017),United States,1hora 33minutos,2017,"Daniel Silverberg,Trish Sie,"
La aldea de los aullidos (2020),Japan,1hora 48minutos,2020,"Takashi Shimizu,"
Mi mejor amiga Anna Frank (2021),Netherlands,1hora 43minutos,2021,"Ben Sombogaart,"
Piratas del Caribe: El Cofre de la Muerte (2006),United States,2horas 31minutos,2006,"Charles Gibson,Clark Credle,David H. Venghaus Jr.,Gary Romolo Fiorelli,Gore Verbinski,Jeff Okabayashi,Jeffrey Schwartz,Peter Kohn,Sharron Reynolds-Enriquez,Steven F. Beaupre"
Freaky (2020),United States,1hora 43minutos,2020,"Amir R. Khan,Christopher Landon,Fernando Altschul"
Monster Hunter: La cacería comienza (2020),"Germany, United States, Japan, China, South Africa, Canada",1hora 44minutos,2020,"Paul W. S. Anderson,"
Palabras en las paredes del baño (2020),United States,1hora 51minutos,2020,"Nicholas Prange,Rudy Persico,Scott Oberholzer,Thom Rainey,Thor Freudenthal"
Jiu Jitsu (2020),United States,1hora 42minutos,2020,"Brian O'Sullivan,Dimitri Logothetis,Eleni Nicolaou,Jessica Dean Rose,Katerina Xini,Supoj Khaowwong"
Caza Salvaje (Daughter of the Wolf) (2019),Canada,1hora 28minutos,2019,"Bronwyn Johansen,Daniel Redenbach,David Hackl,Jesse Nelson,Nikki Elek,Trevor Cunningham"
Piratas del Caribe: La Maldición del Perla Negra (2003),United States,2horas 23minutos,2003,"Bruce Hendricks,Gary Romolo Fiorelli,Gore Verbinski,Lisa Mantoux,Peter Kohn,Steven F. Beaupre,Susan J. Hellmann"
1942: La Gran Ofensiva (2019),Russia,1hora 53minutos,2019,"Igor Kopylov,"
Boonie Bears: Volver al pasado (2019),China,1hora 30minutos,2019,"Leon Ding,林汇达"
Fatale: Juego Fatal (2020),United States,1hora 42minutos,2020,"Deon Taylor,Diane Collins"
Fukushima: Amenaza nuclear (2020),"Japan, Hong Kong",2horas 2minutos,2020,"Setsurô Wakamatsu,"
Guns Akimbo (2020),"Germany, New Zealand, United Kingdom",1hora 35minutos,2020,"Aleks Sakowski,Alice Weibhauser,Guy Campbell,Jason Lei Howden,Robyn Grace"
Una familia de locos (Chacun chez soi) (2021),France,1hora 23minutos,2021,"Michèle Laroque,"
Return of the Tooth Fairy (2020),United Kingdom,1hora 31minutos,2020,"Louisa Warren,Simon James Anderson"
Efímera como la flor del cerezo (2022),Japan,2horas 8minutos,2022,"Yoshihiro Fukagawa,"
Pasajero 666 (2021),Russia,1hora 17minutos,2021,"Alexandr Babaev,"
Easter Bunny Massacre (2021),United States,1hora 25minutos,,"Jack Peter Mundy,"
Elysium (2013),United States,1hora 49minutos,2013,"Carol Green-Lundy,Gabriela Herrera,Nadia Ayala Tabachnik,Neill Blomkamp,,Portia Tickell"
Jackass por Siempre (2022),United States,1hora 36minutos,2022,"Jeff Tremaine,"
Sword Art Online La película: Ordinal scale (2017),Japan,1hora 59minutos,2017,"Tomohiko Ito,"
Eternos Compañeros (2019),"China, Hong Kong",1hora 47minutos,2019,"Law Wing-Cheong,"
El juego del bunker (2022),"Italy, France",1hora 32minutos,2022,"Roberto Zazzara,"
Master (2022),United States,1hora 39minutos,2022,"Mariama Diallo,"
Un lugar seguro (2022),Turkey,1hora 44minutos,2022,"Ketche,"
La posesión de Mercy Black (2022),United States,1hora 27minutos,2022,"Owen Egerton,"
El Joven Vikingo (2018),Sweden,1hora 30minutos,2018,"Gustaf Åkerblom,"
Minari – Historia de mi familia (2021),United States,1hora 55minutos,2021,"Ann Laudick,Cari Pak,Jeff Dubray,Lee Isaac Chung,Stephen J Hanan"
Alien: Covenant (2017),"United States, United Kingdom",2horas 2minutos,2017,"Danielle Blake,Drew Bailey,Greg Tynan,Matthew Webb,Melina Burns,Merran Elliot,Raymond Kirk,Ridley Scott,Scott Lovelock"
Fin de semana en Croacia (2022),United States,1hora 29minutos,2022,"Kim Farrant,"
A mi altura 2 (2022),United States,1hora 37minutos,2022,"Emily Ting,"
Aguas profundas (2022),"United States, Australia",1hora 55minutos,2022,"Adrian Lyne,Doug Torres,James Roque Jr."
Ecos de un crimen (2022),Argentina,1hora 58minutos,2022,"Cristian Bernard,"
Sex Appeal (2022),United States,1hora 30minutos,2022,"Talia Osteen,"
Amarrados al amor (Love and Leashes) (2022),South Korea,1hora 58minutos,2022,"Park Hyun-jin,"
El estafador de Tinder (The Tinder Swindler) (2022),United Kingdom,1hora 54minutos,2022,"Felicity Morris,"
TQM (2022),United States,1hora 19minutos,2022,"Oren Stambouli,"
Amor artificial (2022),"United States, Thailand",1hora 35minutos,2022,"David Asavanond,Stephan Zlotescu"
En La Mente Del Demonio (2021),"United States, Canada",1hora 44minutos,2021,"Neill Blomkamp,"
El cielo está en cualquier lugar (2022),United States,1hora 43minutos,2022,"Josephine Decker,"
V/H/S/94 (2021),United States,1hora 42minutos,2021,"Chloe Okuno,Jennifer Reeder,Ryan Prows,Simon Barrett,Steven Kostanski,Timo Tjahjanto"
Comando Especial (2012),United States,1hora 49minutos,2012,"Christopher Miller,Phil Lord,Samuel W. Sullivan"
Kimi: Alguien está escuchando (2022),United States,1hora 29minutos,2022,"Alina Gatti,Jeremy Silveira,Jody Spilkoman,Scott Peterson,Steven Soderbergh,"
El privilegio (2022),Germany,1hora 47minutos,2022,"Felix Fuchssteiner,Katharina Schöde"
Masquerade (2021),United States,1hora 20minutos,2021,"Rachel Dickson,Shane Dax Taylor,Sherry Gunderman"
Kanna y los dioses de octubre (2021),Japan,1hora 40minutos,2021,"Takana Shirai,"
Impase (2021),United States,1hora 36minutos,2021,"Jared Cohn,"
UFO: OVNI (2022),Turkey,1hora 49minutos,2022,"Onur Bilgetay,"
Misfit – Eres o te Haces (2021),Ecuador,1hora 30minutos,2021,
#Vivo (#Alive) (2020),South Korea,1hora 38minutos,2020,"Cho Il,Lee Yang-jun"
Refugiado Americano (2021),United States,1hora 35minutos,2021,"Ali LeRoi,Gerson Paz"
All About Sex (2021),United States,1hora 15minutos,2021,"Allyson Stream,Andra L. Hayes,Courtney Hope Thérond,Dakota Gorman,Darya Belokhon"
Quiero que vuelvas (2022),United States,1hora 56minutos,2022,"Jana Davis,Jason Orley,Jason Suhrke,Megan Molloy,Tracey Poirier,Vincent Lascoumes"
Un diario para Jordan (2021),United States,2horas 11minutos,2021,"Denzel Washington,"
La casa bajo el agua (2021),"France, Belgium",1hora 25minutos,2021,"Alexandre Bustillo,Julien Maury"
El deseo en mí (2021),Poland,1hora 45minutos,2021,"Katarzyna Klimkiewicz,"
Hoy se arregla el mundo (2022),Argentina,1hora 53minutos,2022,"Ariel Winograd,"
El rescate de Ruby (Rescued by Ruby) (2022),United States,1hora 30minutos,2022,"Katt Shea,"
Diavlo (2021),Colombia,1hora 30minutos,2021,"David Bohorquez,"
Mas Barato por Docena (2022),United States,1hora 47minutos,2022,"Gail Lerner,"
Cangrejo Negro (Black Crab) (2022),Sweden,1hora 49minutos,2022,"Adam Berg,"
Frutos del viento (Windfall) (2022),United States,1hora 32minutos,2022,Charlie McDowell
Spencer (2021),"United Kingdom, Germany, United States, Chile",1hora 57minutos,2021,"Gregor Stitzl,Mathias Datow,Pablo Larraín"
El Príncipe Olvidado (2020),"France, Belgium",1hora 41minutos,2020,"Michel Hazanavicius,"
La Portera (2020),United States,1hora 37minutos,2020,"Adina Zota,Emilie Balusson,Jo Marr,Luigi Spoletini,Ryûhei Kitamura"
El atrapasueños (2020),United States,1hora 25minutos,2020,"Kerry Harris,"
Archivo (2020),"United Kingdom, Hungary, United States",1hora 45minutos,2020,"Anna Lovas,Donát Kopek,Gavin Rothery"
El arte de ser adulto (2020),United States,2horas 17minutos,2020,"Eddie Griffith,H.H. Cooper,Judd Apatow,Thomas Johnston"
Tanta felicidad me mata (2021),United States,1hora 36minutos,2021,"BenDavid Grabinski,Ian Campbell,Katie Scholz,Michael S. Chandler,Rick Monsey"
The Standoff at Sparrow Creek (2019),United States,1hora 28minutos,2019,"Henry Dunham,Jason Matthews"
Spell: El hechizo (2020),"United States, South Africa",1hora 31minutos,2020,"Mark Tonderai,"
Noticias del Mundo (2020),United States,1hora 58minutos,2020,"Paul Greengrass,"
Fuera de Control (2020),"United Kingdom, United States",1hora 30minutos,2020,"Andrea Herrera,Andrew Shepherd,Angel De La Vina,Derrick Borte,Georgianna Whitley,Jared Swidzinski,Jeremey Phoenix,Kate Ransome Wilcox,Mike Smith,Nick DiRosa,Sandy Parker,Steve Danton,Taylor Newman"
Corre (2020),"United States, Canada",1hora 30minutos,2020,"Aneesh Chaganty,Cody McCullough,Douglas Mitchell,Nanouk Martel,Reed Makayev,Roman Buchok,Tamara Harland"
La niñera: Reina letal (2020),United States,1hora 41minutos,2020,"McG,"
Difícil de Matar (2020),United States,1hora 38minutos,2020,"Kimberley Roper,Matt Eskandari"
Sola (2020),United States,1hora 38minutos,2020,"John Hyams,"
Horizonte Mortal (2020),"Sweden, United States",1hora 31minutos,2020,"Mikael Marcimain,"
Nunca cierres los ojos (2020),Canada,1hora 45minutos,2020,"Anthony Scott Burns,"
Borning: Asfalto en llamas (2020),Norway,1hora 40minutos,2020,"Hallvard Bræin,"
Una sombra en la nube (2021),"New Zealand, United States",1hora 23minutos,2021,"Hamish Gough,Laura Miles,Olivier Campana,Roseanne Liang,Sophie Calver,Tom Hern"
Mi Hijo (My Son) (2021),"United Kingdom, France, Germany",1hora 36minutos,2021,"Christian Carion,"
El Callejón De Las Almas Perdidas (2021),"United States, Mexico, Canada",2horas 30minutos,2021,Guillermo del Toro
El asesino de las postales (2020),"United Kingdom, United States",1hora 41minutos,2020,"Danis Tanović,Elizabeth West,Jessica Hurles-Laws,Will Cummins"
Cosmoball (2020),Russia,1hora 55minutos,2020,"Dzhanik Fayziev,"
Attraction: La guerra ha comenzado (2017),Russia,2horas 10minutos,2017,"Fyodor Bondarchuk,"
Invasión: el fin de los tiempos (2020),Russia,2horas 9minutos,2020,"Fyodor Bondarchuk,"
El Refugio (2020),"United Kingdom, Canada",1hora 47minutos,2020,"Sean Durkin,"
Paseo en el Limbo (2020),United States,1hora 37minutos,2020,"Elena Antzon,Rachel Jensen,Randin Brown,Tara Miele"
Herencia maldita (2020),United States,1hora 46minutos,2020,"Tate Steinsiek,"
Matar a Santa (2020),"United Kingdom, Canada, United States",1hora 40minutos,2020,"Ace McCallum,Eshom Nelms,Ian Nelms,Joseph J. Gillanders,Nicole Godwin,Reid A. Dunlop,Samantha McMeekin,Sterling Thomas,Thomas Sterling"
Atrapado (2020),United States,1hora 25minutos,2020,"Isaac Florentine,"
9 Nueve (2009),United States,1hora 19minutos,2009,"Jessica M. Broughton,Marie-Eve Tetrault,Shane Acker"
Most Wanted: Víctima del poder (2020),Canada,2horas 15minutos,2020,"Daniel Roby,Robbie Ditchburn"
La presencia (2020),United States,1hora 59minutos,2020,"Eric Demeusy,"
"Borat, siguiente película documental (2020)","United States, United Kingdom",1hora 36minutos,2020,"Abbey Spacil,Duncan White,Jason Woliner,Joshua Stickler"
El Proyecto Adam (2022),United States,1hora 46minutos,2022,Shawn Levy
Infectados (2020),United States,1hora 25minutos,2020,"Adam Mason,"
El Legado (2020),United States,1hora 38minutos,2020,"R. Ellis Frazier,"
"Descuida, yo te cuido (2021)","United States, United Kingdom",1hora 58minutos,2021,"Colin Flaherty,J Blakeson,Jenna Dayton,Urs Hirschbiegel"
Skylines (2020),"United Kingdom, United States",1hora 40minutos,2020,"Can Aydin,Daniele Zavadskyte,Eliot Mathews,Jelena Grišina,Julija Mickėnaitė,Liam O'Donnell,Tomas Smulkis"
Érase una vez… (2020),United Kingdom,1hora 34minutos,2020,"Brenda Chapman,"
Relic: Herencia Maldita (2020),"Australia, United States, China",1hora 29minutos,2020,"Ben Morgan,Breeze Callahan,Elisha Rashleigh,Natalie Erika James,Nathan Croft,Nicole Binnall,Paul Kiely"
Un Amor Memorable (2020),United Kingdom,1hora 34minutos,2020,"Daniel Pemberton,Harry Macqueen,Iain Atkinson,Toni Staples"
El halloween de Hubie (2020),United States,1hora 43minutos,2020,"Dominic Pacitti,Matt McKinnon,Ronit Ravich-Boss,Steven Brill"
El espía inglés (2021),"United Kingdom, United States",1hora 30minutos,2021,"Dominic Cooke,"
Demon Slayer: Mugen Train La Película (2020),Japan,1hora 57minutos,2020,"Haruo Sotozaki,Hideki Hosokawa,Kei Tsunematsu,Masashi Takeuchi,Seiji Harada,Shinya Shimomura,Takashi Suhara,Toshiyuki Shirai"
El Hombre del Agua (2020),United States,1hora 32minutos,2020,"David Oyelowo,"
Un día más para morir (2021),United States,1hora 40minutos,2021,"Brian Avery Galligan,Joe Carnahan,Nick Satriano"
Una sombra en mi ojo (2021),Denmark,1hora 47minutos,2021,"Filip Pavlík,Kristyna Klosarova,Madeleine Fant,Ole Bornedal"
Al sur del cielo (2021),United States,2horas,2021,"Aharon Keshales,"
La aldea de los suicidios (2021),Japan,1hora 57minutos,2021,"Takashi Shimizu,"
Marilyn tiene los ojos negros (2021),Italy,1hora 50minutos,2021,"Alessandro Specchio,Fabrizio Procaccini,Francesco Thérèse,Ilaria Rucco,Simone Godano"
Las Aventuras del Doctor Dolittle (2020),"United States, China, United Kingdom, Japan",1hora 41minutos,2020,"Joey Coughlin,John Beckett,Mark Johnstone,Marlon Beyer Rieger,Sandrine Loisy,Simon Crane,Stephen Gaghan,Teresa Orlando,Tom Rye,William M. Connor"
Superman: Red Son (2020),United States,1hora 24minutos,2020,"Sam Liu,"
Peter Rabbit 2: Conejo en Fuga (2021),"United States, Australia",1hora 34minutos,2021,"Will Gluck,"
The Kid (Sin piedad) (2019),United States,1hora 40minutos,2019,"Cindy Serigatto,James Currier,Mara Herdmann,Michael Chochol,Vincent D'Onofrio"
Lansky (2021),United States,1hora 59minutos,2021,"Eytan Rockaway,"
Un plan irresistible (2020),United States,1hora 41minutos,2020,"Jon Stewart,Jonas Spaccarotelli"
Crisis (2021),"Canada, Belgium",1hora 58minutos,2021,"Nicholas Jarecki,"
Espiral: El juego del miedo continúa (2021),"United States, Canada",1hora 33minutos,2021,"Darren Lynn Bousman,Nadia Guglieri"
Medianoche en el Switchgrass (2021),United States,1hora 39minutos,2021,"Randall Emmett,"
El indicado (2021),"Canada, United States",1hora 36minutos,2021,"Ken Mok,"
Ruega Por Nosotros (2021),United States,1hora 39minutos,2021,"Evan Spiliotopoulos,"
Caos: El Inicio (2021),"United States, Canada, Hong Kong, Luxembourg",1hora 49minutos,2021,
El ejército de los muertos (2021),United States,2horas 28minutos,2021,"Brooke Satrazemis,Damon Caro,Gabriela Gomez,Kimi Webber,Sharon Watt,Zack Snyder"
Land (2021),"United States, Canada",1hora 29minutos,2021,"Robin Wright,"
Miedo a la Lluvia (2021),United States,1hora 49minutos,2021,"Castille Landon,Claire Tanner,Deanna Dys,Peyton Crosby,Steve Lasky"
Scream 5 (Grita) (2022),United States,1hora 54minutos,2022,"Kara McGee,Matt Bettinelli-Olpin,Scott Oberholzer,Tyler Gillett"
Red (2022),United States,1hora 40minutos,2022,"Domee Shi,Rachel H. Slansky"
Debieron irse (2020),"United States, United Kingdom",1hora 33minutos,2020,"David Koepp,Mick Ward,Silvia Bellitto,Tom White"
Soul Plane – Locura en las alturas (2004),United States,1hora 26minutos,2004,"Jessy Terrero,Jules Stewart"
Promare (2019),Japan,1hora 51minutos,2019,"Hiroyuki Imaishi,Masahiko Otsuka,Noboru Furukawa,Tatsumi Fujii,Yoshiyuki Kaneko"
ABC del amor (2005),United States,1hora 24minutos,2005,"Mark Levin,"
Parásitos (2019),South Korea,2horas 12minutos,2019,"Bong Joon-ho,Han Jin-won,Kim Seong-sik,Lee Jung-hoon,Park Hyun-cheol,Yoon Young-woo"
La última noche de la humanidad,United States,1hora 29minutos,,
Freaks (2019),"United States, Canada",1hora 45minutos,2019,"Adam B. Stein,Krista Steele,Zach Lipovsky"
Último turno (2012),United States,1hora 49minutos,2012,David Ayer
Criaturas salvajes (1998),United States,1hora 48minutos,1998,"John McNaughton,"
Criaturas salvajes 2 (2004),United States,1hora 35minutos,2004,"Jack Perez,"
Wild Things: Diamonds in the Rough (2005),United States,1hora 27minutos,2005,"Jay Lowi,"
Doble riesgo (1999),"United States, Germany, Canada",1hora 45minutos,1999,"Alysse Leite-Rogers,Ann C. Salzer,Bruce Beresford,Carwyn Jones,David Klohn,Eddy Santos,Glenn Randall Jr.,Greg Fawcett,Joan Cunningham,Josy Capkun,Patrice Leung,Richard Cowan,September Death"
Wild Things: Foursome (2010),United States,1hora 32minutos,2010,"Andy Hurst,"
"Me las vas a pagar, papá (1994)",United States,1hora 49minutos,1994,"Howard Deutch,"
El Cubo 2: Hipercubo (2002),Canada,1hora 35minutos,2002,"Andrzej Sekula,Effy Papadopoulos,Jenny Murray,Linda Browne,Mark Sanders,Rob Fowler,September Death"
Un príncipe en Nueva York 2 (2021),United States,1hora 50minutos,2021,"Craig Brewer,"
Beowulf (2007),"United States, United Kingdom",1hora 55minutos,2007,"Harald Kraut,Luca Kouimelis,Robert Zemeckis"
El cubo cero,United States,1hora 37minutos,,
Adoro la fama (2013),"United States, United Kingdom, France, Germany, Japan",1hora 30minutos,2013,"Jasmine Marie Alhambra,Mary Bailey,Richard Styles,Sofia Coppola"
Bajo el mismo cielo (2015),United States,1hora 45minutos,2015,"Cameron Crowe,Jayne-Ann Tenggren,Jonas Spaccarotelli,Scott Robertson"
Possessor,United States,1hora 44minutos,,
Spider-Man: Sin camino a casa (2021),United States,2horas 28minutos,2021,Jon Watts
Venganza (2020),United States,1hora 30minutos,2020,"Stephen Durham,"
Ninja a cuadros (2018),Denmark,1hora 21minutos,2018,"Anders Matthesen,Thorbjørn Christoffersen"
Belfast (2021),United Kingdom,1hora 38minutos,2021,"Anna Brabbins,Irene Chawko,Kenneth Branagh,,Martin Curry"
Tarzán (1999),United States,1hora 28minutos,1999,"Chris Buck,Chung Sup Yoon,James P. Alles,Johan Klingler,Kevin Lima"
¿Sólo Amigos? (2013),"Canada, Ireland",1hora 33minutos,2013,"Michael Dowse,Miguel Gallego,Pazz Neglia,Walter Gasparovic"
El desesperar de los muertos (2004),"United Kingdom, France, United States",1hora 40minutos,2004,"Edgar Wright,"
Hot Fuzz: Super policías (2007),"United Kingdom, France",2horas 1minuto,2007,"Edgar Wright,"
Una noche en el fin del mundo (2013),"United Kingdom, United States, Japan",1hora 49minutos,,
La invención de Hugo Cabret (2011),"United States, United Kingdom, France",2horas 6minutos,2011,"Christopher Surgent,Martha Pinson,Martin Scorsese"
´71 (2014),United Kingdom,1hora 39minutos,2014,"Adam Lock,Sylvia Parker,Yann Demange"
Jugada Perfecta (2010),United States,1hora 40minutos,2010,"Christo Morse,Sanaa Hamri"
Frozen: El reino del hielo (2013),United States,1hora 42minutos,,
Red Social (2010),United States,2horas 1minuto,2010,"Allen Kupetsky,David Fincher,Lisa Arnone,Noble Jones,Sharron Reynolds-Enriquez"
Silk Road: El camino oculto (2021),United States,1hora 56minutos,2021,"Charee Savedra,Doug Metzger,Tiller Russell"
Si la colonia hablara (2018),United States,1hora 59minutos,,
La Fuerza De La Naturaleza (2020),United States,1hora 31minutos,2020,"Michael Polish,"
Amor y monstruos (2020),"Canada, United States, Australia",1hora 49minutos,2020,"Andrew Power,Brian Smrz,James McGrady,Joanne Pearce,Kristin Voumard,Michael Matthews"
En guerra con mi abuelo (2020),"United States, United Kingdom, Canada",1hora 38minutos,2020,"Tim Hill,"
El joven detective (2020),Canada,1hora 37minutos,2020,"Evan Morgan,Lauren Vesterdal,Michèle DesLauriers,Sydney Kondruss"
2067 (2020),Australia,1hora 54minutos,2020,"Damian Walshe-Howling,Kelly Haines,Rick Beecroft,Seth Larney,Wayne Nassereddine"
Madame Curie (2020),"United Kingdom, France, United States, China, Hungary",1hora 49minutos,2020,"Marjane Satrapi,Nige Watson,Phoebe Billington"
Los pingüinos de papá (2011),United States,1hora 34minutos,2011,"G. A. Aguilar,Mark Waters,Matt Power,Patrick McDonald,Renee Burke,Stephen Apicella"
Antes del atardecer (2004),"United States, France",1hora 20minutos,2004,Richard Linklater
Alicia a través del espejo (2016),United States,1hora 53minutos,2016,"Anna Worley,Carolina Jiménez,James Bobin,Richard Goodwin,Shaun O'Dell"
La película del Pato Lucas: Isla Fantástica (1983),United States,1hora 18minutos,1983,"Chuck Jones,Friz Freleng,Robert McKimson"
Belle (2021),Japan,2horas 1minuto,2021,"Mamoru Hosoda,"
Amor Sin Barreras (2021),United States,2horas 37minutos,2021,Steven Spielberg
Luz Negra (2022),"China, Australia, United States",1hora 44minutos,2022,Mark Williams
Años de sequía (Secretos del pasado) (2021),"Australia, United States, United Kingdom",1hora 57minutos,2021,"Elisha Rashleigh,Guy Strachan,Phil Jones,Renata Blaich,Robert Connolly"
La Casa sobre el Pantano (2021),United States,1hora 29minutos,2021,"Alex McAulay,Anastasia M. Cummings,Scott August"
Jinetes desesperados (2022),United States,1hora 30minutos,2022,"Michael Feifer,"
Piratas: El último tesoro de la corona (2022),South Korea,2horas 6minutos,2022,"Kim Joung-hoon,"
Dos contra el hielo (2022),"Iceland, Denmark",1hora 41minutos,2022,"Peter Flinth,"
X-Men (2000),United States,1hora 44minutos,2000,"Blanche McDermaid,Bryan Singer,Bryn Caron,Conrad E. Palmisano,Corey Yuen,Lee Cleary,Stephen J. Morrison"
Titanes Del Pacífico (2013),"United States, Mexico",2horas 11minutos,2013,"Dug Rotstein,Guillermo del Toro,Shane B. Scott"
Titanes del Pacífico: La insurrección (2018),"United Kingdom, China, Japan, United States, Mexico",1hora 50minutos,2018,"Kristin Voumard,Melina Burns,Nick Satriano,Steven S. DeKnight"
Gigantes de Acero (2011),"United States, India",2horas 6minutos,2011,"Diane Durant,Shawn Levy"
El regreso a casa de Madea (2022),United States,1hora 45minutos,2022,"Tyler Perry,"
La máscara (1994),United States,1hora 41minutos,1994,"Chuck Russell,Denis L. Stewart,Tricia Ronten"
Sin respiro (2022),France,1hora 35minutos,2022,"Régis Blondeau,"
La última pelea (2011),United States,2horas 20minutos,2011,"Anna Rane,Gavin O'Connor,Jamie Marshall,Jan McWilliams,Thomas Coe"
Muy duro de matar (2016),United States,1hora 27minutos,2016,"Brian O'Sullivan,Cornelia Stefan,Keoni Waxman"
Cruzando la línea (2021),United States,1hora 31minutos,2021,"Michele Civetta,"
Sin salida (2022),United States,1hora 35minutos,2022,"Damien Power,"
El otro cordero (2020),"Ireland, Belgium, United States",1hora 37minutos,2020,"Małgorzata Szumowska,"
El Contador (2016),United States,2horas 8minutos,2016,"Gavin O'Connor,Ivan J. Fonseca,Janine Gosselin,Lori Grabowski"
Life: Vida inteligente (2017),United States,1hora 44minutos,2017,"Adam Byles,Annie Penn,Daniel Espinosa,Danni Lizaitis,Jason Rickwood,Josh Robertson,Julia Chiavetta,Stacy Rowe,Toby Ford,Tom Brewster"
El reflejo del diablo (2021),Canada,1hora 32minutos,2021,"Patrick White,"
Jugar en casa (2022),United States,1hora 35minutos,2022,"Charles Kinnane,Daniel Kinnane"
Monstermanía (2021),United States,1hora 35minutos,2021,
No me mates (2021),United States,1hora 30minutos,2021,
La vida electrizante de Louis Wain (2021),United Kingdom,1hora 51minutos,2021,"Will Sharpe,"
American Underdog: La Historia De Kurt Warner (2021),United States,1hora 52minutos,2021,"Andrew Erwin,Jon Erwin"
La masacre de Texas (2022),United States,1hora 21minutos,2022,"Antony Tanev,David Blue Garcia,Kristiya Tombusheva,Margarita Aneva,Monika Hristova"
Indivisible (2018),United States,1hora 59minutos,2018,"David G. Evans,"
Estrechando Lazos (2018),United States,1hora 37minutos,2018,"Steve Clark,"
